Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Nissan Qashqai,Albastru,2015,5.0,Benzina,Manuala,SUV,1197.0,115.0,Fata,6.6,5.1,12190
BMW Seria 5,Gri,2011,5.0,Diesel,Automata,Sedan,1995.0,184.0,Spate,5.9,4.6,11990
Hyundai ix35,Alb,2011,5.0,Diesel,Manuala,SUV,1685.0,116.0,Fata,6.3,4.8,8990
Audi A6,Albastru,2019,5.0,Diesel,Automata,Sedan,2967.0,231.0,4x4,6.2,5.3,27990
Nissan Qashqai,Negru,2015,5.0,Diesel,Manuala,SUV,1598.0,130.0,Fata,5.2,4.3,12490
Renault Clio,Alb,2019,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.5,9750
Chevrolet Captiva,Albastru,2009,7.0,Diesel,Automata,SUV,1991.0,150.0,4x4,10.7,7.3,4899
Nissan Qashqai,Argint,2015,5.0,Diesel,Manuala,SUV,1461.0,110.0,Fata,4.2,3.6,11990
BMW X3,Negru,2007,5.0,Diesel,Automata,SUV,1995.0,177.0,4x4,8.3,5.8,6199
Volvo XC 40,Gri,2018,5.0,Diesel,Automata,SUV,1969.0,190.0,4x4,5.8,4.8,23950
Ford Focus,Gri,2019,5.0,Diesel,Manuala,Sedan,1499.0,120.0,Fata,4.1,3.3,11250
BMW X1,Negru,2020,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.3,4.8,28450
Volkswagen Golf,Gri,2020,5.0,Diesel,Manuala,Compact,1968.0,116.0,Fata,4.0,3.2,19450
Peugeot 508,Negru,2019,5.0,Diesel,Automata,Sedan,1499.0,130.0,Fata,4.5,3.6,12990
Hyundai Tucson,Gri,2024,5.0,Hibrid,Automata,SUV,1598.0,215.0,4x4,4.8,5.9,40500
Skoda Kodiaq,Negru,2018,5.0,Diesel,Automata,SUV,1968.0,150.0,Fata,5.4,4.6,18500
BMW Seria 5,Negru,2015,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.1,4.2,11850
Ford EcoSport,Albastru,2019,5.0,Benzina,Manuala,SUV,999.0,125.0,Fata,6.2,4.6,10050
Audi A3,Gri,2015,5.0,Diesel,Manuala,Compact,1598.0,110.0,Fata,4.6,3.5,9400
BMW X3,Albastru,2012,5.0,Diesel,Manuala,SUV,1995.0,184.0,4x4,6.7,5.0,11190
Mercedes-Benz GLK,Negru,2014,5.0,Diesel,Automata,SUV,2987.0,265.0,4x4,8.3,6.3,15450
Audi Q2,Negru,2017,5.0,Diesel,Manuala,SUV,1598.0,116.0,Fata,4.9,4.1,16490
Volkswagen Touareg,Negru,2015,5.0,Diesel,Automata,SUV,2967.0,262.0,4x4,7.9,6.2,21990
Volvo V60,Albastru,2013,5.0,Diesel,Manuala,Sedan,1984.0,136.0,Fata,5.2,4.1,8490
Kia Sportage,Alb,2015,5.0,Diesel,Manuala,SUV,1685.0,115.0,Fata,5.4,4.2,11990
Skoda Octavia,Argint,2020,5.0,Diesel,Manuala,Sedan,1968.0,115.0,Fata,4.2,3.1,16999
Renault Megane,Albastru,2017,5.0,Diesel,Manuala,Sedan,1461.0,110.0,Fata,5.1,4.0,10400
Renault Megane,Alb,2017,5.0,Diesel,Manuala,Sedan,1461.0,110.0,Fata,3.9,4.0,11400
Renault Megane,Gri,2016,5.0,Diesel,Manuala,Sedan,1461.0,110.0,Fata,4.2,3.4,9900
Citroën C3,Alb,2022,5.0,Benzina,Manuala,Compact,1199.0,83.0,Fata,5.4,3.8,10750
Cupra Formentor,Gri,2023,5.0,Benzina,Automata,SUV,1498.0,150.0,Fata,5.1,3.9,24350
Dacia Duster,Alte culori,2015,5.0,Benzina,Manuala,SUV,1199.0,125.0,Fata,7.3,5.5,7190
BMW X1,Negru,2014,5.0,Diesel,Automata,SUV,1995.0,218.0,4x4,6.3,5.1,12200
Mercedes-Benz E,Argint,2018,5.0,Diesel,Automata,Sedan,1950.0,150.0,Spate,5.2,4.0,25900
Volkswagen Passat,Alb,2020,5.0,Diesel,Automata,Sedan,1968.0,190.0,Fata,5.4,4.1,16500
BMW X3,Albastru,2016,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.4,4.8,19900
Land Rover Range Rover Evoque,Alb,2017,5.0,Diesel,Automata,SUV,1999.0,180.0,4x4,6.7,5.1,14399
Volvo XC 60,Maro,2016,5.0,Diesel,Automata,SUV,1969.0,190.0,Fata,5.5,4.4,17300
Volkswagen Polo,Alb,2017,5.0,Benzina,Manuala,Compact,999.0,60.0,Fata,6.4,4.2,5290
Volkswagen T-ROC,Gri,2020,5.0,Diesel,Manuala,SUV,1598.0,115.0,Fata,4.8,3.9,14700
Mercedes-Benz GLA,Negru,2017,5.0,Diesel,Manuala,SUV,1461.0,109.0,Fata,4.8,4.0,13500
BMW X5,Albastru,2020,5.0,Benzina,Automata,SUV,2998.0,340.0,4x4,10.4,7.4,58900
Ford Kuga,Gri,2020,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.6,4.3,19997
Ford Kuga,Rosu,2020,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.6,4.3,20900
Opel Astra,Alb,2017,5.0,Diesel,Manuala,Compact,1598.0,110.0,Fata,4.0,3.2,7350
Volkswagen Caddy,Alb,2019,2.0,Diesel,Manuala,Monovolum,1968.0,102.0,Fata,6.4,4.6,8000
Volkswagen Golf,Argint,2019,5.0,Diesel,Automata,Sedan,1598.0,115.0,Fata,4.1,3.8,11900
Audi A6,Negru,2020,5.0,Diesel,Automata,Sedan,1968.0,204.0,Fata,4.9,4.2,25490
Toyota Auris,Alb,2010,5.0,Diesel,Automata,Compact,1364.0,90.0,Fata,5.8,4.4,6800
Skoda Fabia,Gri,2011,5.0,Benzina,Manuala,Compact,1198.0,69.0,Fata,7.3,4.5,3450
Skoda Fabia,Rosu,2019,5.0,Benzina,Manuala,Compact,999.0,75.0,Fata,5.9,4.2,6400
Skoda Octavia,Albastru,2020,5.0,Diesel,Manuala,Sedan,1968.0,115.0,Fata,4.5,3.1,17498
BMW Seria 2,Rosu,2015,7.0,Diesel,Manuala,Monovolum,1995.0,150.0,Fata,5.1,4.3,10850
Dacia Sandero Stepway,Rosu,2021,5.0,Benzina,Manuala,Compact,999.0,90.0,Fata,5.9,4.3,6990
Volkswagen Polo,Albastru,2007,5.0,Diesel,Manuala,Compact,1896.0,100.0,Fata,6.4,4.0,2990
Renault Espace,Alte culori,2015,7.0,Diesel,Automata,Monovolum,1598.0,160.0,Fata,5.1,4.4,15499
BMW X3,Negru,2019,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.4,4.8,23490
Renault Espace,Alte culori,2019,5.0,Diesel,Automata,Monovolum,1997.0,200.0,Fata,6.1,4.7,21498
Volvo XC 60,Negru,2014,5.0,Diesel,Automata,SUV,2400.0,215.0,4x4,5.5,4.3,16450
Volkswagen Tiguan,Alte culori,2017,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.5,5.2,19000
Mercedes-Benz C,Albastru,2020,5.0,Benzina,Automata,Sedan,1497.0,156.0,Spate,8.0,4.8,26800
Volkswagen Golf,Albastru,2019,5.0,Diesel,Manuala,Sedan,1598.0,115.0,Fata,4.6,3.8,9730
Volkswagen Passat,Alb,2016,5.0,Diesel,Manuala,Sedan,1968.0,190.0,Fata,5.0,3.7,10990
Volkswagen Polo,Alb,2020,5.0,Benzina,Manuala,Compact,999.0,95.0,Fata,5.5,3.8,8850
Audi Q5,Albastru,2019,5.0,Diesel,Automata,SUV,1968.0,163.0,4x4,5.3,4.7,29900
Audi Q7,Gri,2017,5.0,Diesel,Automata,SUV,2967.0,272.0,4x4,6.2,5.4,27999
Mitsubishi Pajero,Negru,2012,7.0,Diesel,Automata,SUV,3200.0,200.0,4x4,10.5,7.3,15900
BMW Seria 7,Negru,2010,5.0,Diesel,Automata,Sedan,2993.0,306.0,4x4,9.0,5.7,9800
Seat Leon,Negru,2014,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,4.7,3.4,5999
Volkswagen Tiguan,Gri,2018,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.8,5.3,19900
Ford Focus,Albastru,2015,5.0,Diesel,Automata,Sedan,1997.0,150.0,Fata,5.2,4.0,6700
Renault Grand Scenic,Gri,2017,5.0,Diesel,Automata,Monovolum,1598.0,160.0,Fata,5.3,4.4,12990
Mercedes-Benz S,Negru,2015,5.0,Diesel,Automata,Sedan,2987.0,258.0,4x4,7.4,5.1,32500
BMW Seria 3,Albastru,2019,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,6.1,4.7,26200
Ford Kuga,Alte culori,2018,5.0,Benzina,Manuala,SUV,1498.0,150.0,Fata,8.9,5.9,14399
Audi SQ5,Negru,2017,5.0,Benzina,Automata,SUV,2995.0,354.0,4x4,10.8,6.8,27846
Audi A6,Albastru,2019,5.0,Diesel,Automata,Sedan,1968.0,204.0,Fata,5.1,3.9,29950
BMW Seria 3,Gri,2016,5.0,Diesel,Automata,Sedan,2993.0,258.0,4x4,6.2,4.9,13990
Audi A4,Rosu,2021,5.0,Diesel,Automata,Sedan,1968.0,204.0,4x4,5.4,3.9,29950
Mercedes-Benz GLE,Negru,2015,5.0,Diesel,Automata,SUV,2143.0,204.0,4x4,6.3,5.3,26499
Ford Puma,Gri,2021,5.0,Diesel,Manuala,SUV,1499.0,120.0,Fata,4.3,3.5,17999
BMW X3,Negru,2011,5.0,Diesel,Automata,SUV,1995.0,184.0,4x4,6.1,5.3,10499
Mitsubishi Pajero,Argint,2002,7.0,Diesel,Manuala,SUV,3200.0,160.0,4x4,13.3,8.8,7999
Peugeot 5008,Negru,2021,7.0,Diesel,Automata,SUV,1499.0,130.0,Fata,4.6,4.0,19990
BMW Seria 5,Rosu,2017,5.0,Diesel,Automata,Sedan,2993.0,265.0,4x4,6.0,4.9,24700
Ford Fiesta,Rosu,2013,5.0,Benzina,Manuala,Compact,999.0,100.0,Fata,5.3,3.7,6999
Mercedes-Benz E,Albastru,2018,5.0,Diesel,Automata,Sedan,1950.0,150.0,Spate,5.7,4.4,33300
Volvo XC 40,Negru,2020,5.0,Diesel,Automata,SUV,1969.0,190.0,4x4,5.7,4.6,30999
Ford Focus,Albastru,2021,5.0,Diesel,Manuala,Compact,1499.0,120.0,Fata,4.4,3.5,16065
Ford Focus,Albastru,2020,5.0,Benzina,Manuala,Sedan,999.0,125.0,Fata,5.9,4.2,14280
Opel Grandland X,Alb,2020,5.0,Benzina,Automata,SUV,1199.0,130.0,Fata,5.6,4.9,14280
BMW Seria 3,Alb,2018,5.0,Diesel,Automata,Sedan,2993.0,313.0,4x4,6.4,4.9,31000
Volkswagen Passat,Alte culori,2016,5.0,Diesel,Automata,Sedan,1968.0,122.0,Fata,5.0,3.5,13999
BMW X5,Alb,2010,5.0,Diesel,Automata,SUV,2993.0,285.0,4x4,10.3,7.0,15800
BMW Seria 3,Alb,2018,5.0,Diesel,Automata,Sedan,2993.0,313.0,4x4,6.4,4.9,31000
Volkswagen Passat,Alte culori,2016,5.0,Diesel,Automata,Sedan,1968.0,122.0,Fata,5.0,3.5,13999
BMW X5,Alb,2010,5.0,Diesel,Automata,SUV,2993.0,285.0,4x4,10.3,7.0,15800
Mercedes-Benz GLS,Alb,2018,7.0,Diesel,Automata,SUV,2987.0,258.0,4x4,9.1,7.3,35900
Hyundai i20,Alb,2017,5.0,Benzina,Manuala,Compact,1248.0,84.0,Fata,5.1,4.2,6890
Ford Kuga,Alb,2008,5.0,Diesel,Manuala,SUV,1997.0,136.0,4x4,8.1,5.4,6750
Renault Talisman,Maro,2016,5.0,Diesel,Automata,Sedan,1598.0,160.0,Fata,5.1,4.3,18750
Renault Kadjar,Negru,2017,5.0,Diesel,Manuala,SUV,1598.0,130.0,Fata,5.0,3.9,10900
BMW X5,Gri,2015,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,10.0,5.2,22999
Volkswagen Touareg,Albastru,2019,5.0,Diesel,Automata,SUV,2967.0,286.0,4x4,7.7,5.9,44982
Audi A4,Alb,2019,5.0,Benzina,Automata,Sedan,1395.0,150.0,Fata,6.8,4.4,19900
Mercedes-Benz CLA,Gri,2021,5.0,Benzina,Automata,Sedan,1991.0,421.0,4x4,10.3,7.0,54999
Renault Clio,Alb,2014,5.0,Diesel,Manuala,Sedan,1461.0,90.0,Fata,4.3,3.2,4900
Audi A1,Negru,2014,5.0,Benzina,Manuala,Compact,1197.0,86.0,Fata,6.2,4.3,6700
BMW Seria 5,Negru,2018,5.0,Benzina,Automata,Sedan,1998.0,252.0,Spate,6.9,4.8,23500
Opel Corsa,Gri,2016,5.0,Benzina,Manuala,Compact,1229.0,70.0,Fata,7.3,4.6,5500
Renault Megane,Gri,2012,5.0,Diesel,Manuala,Sedan,1870.0,130.0,Fata,6.2,4.5,3500
Mercedes-Benz A,Gri,2013,5.0,Benzina,Manuala,Compact,1595.0,122.0,Fata,8.7,5.6,9900
Renault Megane,Alte culori,2007,5.0,Diesel,Manuala,Sedan,1461.0,86.0,Fata,5.7,4.1,2390
Renault Clio,Negru,2018,5.0,Benzina,Manuala,Compact,898.0,90.0,Fata,6.5,4.4,7989
Renault Kadjar,Alb,2017,5.0,Diesel,Automata,SUV,1461.0,110.0,Fata,3.8,3.8,12990
Peugeot 3008,Gri,2017,5.0,Benzina,Automata,SUV,1199.0,130.0,Fata,6.1,4.8,16100
Skoda Fabia,Gri,2020,5.0,Benzina,Manuala,Sedan,999.0,95.0,Fata,5.6,3.8,8925
Renault Megane,Rosu,2019,5.0,Diesel,Manuala,Sedan,1461.0,115.0,Fata,4.6,3.6,11990
BMW Seria 2,Alb,2016,5.0,Benzina,Automata,Sedan,1499.0,136.0,Fata,6.4,4.5,10900
Kia Ceed,Negru,2008,5.0,Diesel,Manuala,Compact,1600.0,90.0,Fata,5.7,4.2,2680
BMW Seria 3,Negru,2012,5.0,Diesel,Manuala,Sedan,1995.0,184.0,Spate,5.8,3.8,11800
Opel Insignia,Albastru,2020,5.0,Diesel,Automata,Sedan,1956.0,170.0,Fata,7.1,4.7,16450
Volkswagen Phaeton,Gri,2012,5.0,Diesel,Automata,Sedan,2967.0,240.0,4x4,11.6,6.7,10999
BMW Seria 5,Negru,2015,5.0,Diesel,Automata,Sedan,1995.0,218.0,Spate,6.1,4.5,13499
Peugeot 207,Negru,2011,4.0,Diesel,Manuala,Sport,1560.0,112.0,Fata,6.6,4.4,3750
Volkswagen Passat Alltrack,Gri,2016,5.0,Diesel,Manuala,Sedan,1968.0,150.0,4x4,5.9,4.3,12800
Audi A4,Alb,2010,5.0,Diesel,Manuala,Sedan,1968.0,143.0,4x4,6.9,4.7,5880
Audi Q7,Alb,2023,5.0,Diesel,Automata,SUV,2967.0,286.0,4x4,7.2,6.3,69850
Audi A3,Alb,2020,5.0,Benzina,Manuala,Sedan,999.0,116.0,Fata,5.5,3.9,13699
Volkswagen Tiguan,Negru,2013,5.0,Diesel,Automata,SUV,1968.0,140.0,4x4,6.8,5.3,11850
Volvo XC 60,Negru,2018,5.0,Diesel,Automata,SUV,1969.0,190.0,4x4,5.8,4.7,19699
BMW X3,Negru,2018,5.0,Diesel,Automata,SUV,1995.0,231.0,4x4,6.2,5.1,26999
Skoda Kodiaq,Negru,2020,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,5.9,4.4,23300
BMW Seria 3,Alb,2016,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,6.1,4.7,20799
Opel Insignia,Gri,2018,5.0,Diesel,Automata,Sedan,1598.0,136.0,Fata,6.5,4.2,12600
Dacia Duster,Albastru,2018,5.0,Benzina,Manuala,SUV,1598.0,114.0,Fata,8.0,5.7,13399
Ford Focus,Negru,2019,5.0,Benzina,Automata,Sedan,999.0,125.0,Fata,7.3,4.9,11595
Seat Ibiza,Alb,2020,5.0,Benzina,Manuala,Compact,999.0,116.0,Fata,6.0,4.5,16184
Kia Sportage,Argint,2021,5.0,Diesel,Automata,SUV,1598.0,136.0,Fata,4.8,4.5,16053
Dacia Duster,Argint,2018,5.0,Diesel,Manuala,SUV,1461.0,95.0,Fata,4.4,4.0,12450
Audi Q7,Negru,2020,5.0,Benzina,Automata,SUV,2995.0,340.0,4x4,10.9,7.4,44030
BMW X4,Rosu,2022,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.3,4.9,46500
Skoda Octavia,Alte culori,2007,5.0,Diesel,Manuala,Sedan,1896.0,105.0,4x4,7.7,4.9,1550
Volvo XC 60,Alb,2016,5.0,Diesel,Automata,SUV,2400.0,190.0,4x4,6.7,5.1,18490
Audi A6,Gri,2014,5.0,Diesel,Automata,Sedan,1968.0,177.0,Fata,6.0,4.4,11650
Jaguar XE,Negru,2016,5.0,Diesel,Automata,Sedan,1999.0,163.0,Spate,5.0,3.5,10800
Audi A3,Negru,2009,4.0,Diesel,Manuala,Sport,1968.0,140.0,Fata,5.7,3.9,7000
Mercedes-Benz E,Negru,2010,5.0,Diesel,Automata,Compact,2987.0,231.0,Spate,10.1,5.7,9200
Mercedes-Benz ML,Gri,2014,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,7.8,6.3,18900
Skoda Octavia,Albastru,2015,5.0,Diesel,Manuala,Sedan,1968.0,184.0,Fata,5.7,3.9,11700
BMW X5,Alb,2019,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.8,5.6,49995
Audi A4,Negru,2006,5.0,Diesel,Manuala,Sedan,1984.0,140.0,Fata,7.8,4.5,2600
Mercedes-Benz E,Negru,2010,5.0,Diesel,Automata,Compact,2987.0,231.0,Spate,10.1,5.7,9200
Mercedes-Benz ML,Gri,2014,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,7.8,6.3,18900
Skoda Octavia,Albastru,2015,5.0,Diesel,Manuala,Sedan,1968.0,184.0,Fata,5.7,3.9,11700
BMW X5,Alb,2019,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.8,5.6,49995
Audi A4,Negru,2006,5.0,Diesel,Manuala,Sedan,1984.0,140.0,Fata,7.8,4.5,2600
Mini Cooper,Negru,2006,4.0,Benzina,Manuala,Sport,1598.0,120.0,Fata,11.8,7.1,4558
Volkswagen Transporter,Alb,2015,5.0,Diesel,Automata,Monovolum,1968.0,140.0,Fata,10.4,6.9,17999
Volkswagen Passat,Negru,2014,5.0,Diesel,Automata,Sedan,1968.0,177.0,Fata,6.2,4.6,8900
BMW Seria 7,Alb,2018,5.0,Benzina,Automata,Sedan,4395.0,450.0,4x4,11.6,6.3,35000
Mercedes-Benz E,Albastru,2017,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.7,4.1,26990
Volkswagen Tiguan,Alb,2021,5.0,Diesel,Automata,SUV,1968.0,150.0,Fata,5.7,4.5,21990
Renault Grand Scenic,Negru,2016,7.0,Diesel,Manuala,Monovolum,1598.0,130.0,Fata,6.1,4.0,7499
Mercedes-Benz CLA,Rosu,2019,5.0,Benzina,Manuala,Sedan,1332.0,163.0,Fata,7.2,4.5,24500
BMW Seria 5,Gri,2012,5.0,Diesel,Automata,Sedan,1995.0,184.0,Spate,5.2,4.1,9999
Volkswagen Golf,Gri,2010,5.0,Diesel,Automata,Compact,1968.0,170.0,Fata,6.9,4.6,10450
Cupra Formentor,Negru,2022,5.0,Benzina,Automata,SUV,1984.0,310.0,4x4,9.6,6.5,30850
Audi A5,Gri,2013,5.0,Diesel,Automata,Sport,2967.0,204.0,Fata,5.5,4.6,10900
Volvo XC 90,Alb,2016,7.0,Diesel,Automata,SUV,1969.0,224.0,4x4,6.4,5.5,19500
BMW Seria 7,Negru,2010,5.0,Diesel,Automata,Sedan,2993.0,306.0,Spate,9.0,5.7,14999
BMW Seria 6,Negru,2018,5.0,Diesel,Automata,Sedan,2993.0,265.0,Spate,5.6,4.8,30900
Seat Leon,Albastru,2011,5.0,Diesel,Automata,Compact,1968.0,140.0,Fata,6.7,4.5,7500
Seat Ibiza,Alte culori,2012,5.0,Benzina,Manuala,Compact,1198.0,70.0,Fata,7.1,4.4,4890
Volkswagen Polo,Alb,2012,5.0,Benzina,Manuala,Compact,1198.0,70.0,Fata,6.8,4.3,5290
BMW X1,Negru,2010,5.0,Diesel,Automata,SUV,1995.0,177.0,4x4,7.7,5.4,8490
BMW Seria 1,Alb,2012,5.0,Benzina,Manuala,Compact,1596.0,115.0,Spate,10.5,5.9,6490
Skoda Octavia,Argint,2012,5.0,Diesel,Automata,Sedan,1598.0,105.0,Fata,5.6,4.2,5290
Audi A5,Negru,2018,5.0,Diesel,Manuala,Sedan,1968.0,190.0,Fata,5.2,3.8,21790
Ford Focus,Albastru,2019,5.0,Diesel,Manuala,Compact,1499.0,120.0,Fata,4.1,3.5,9700
BMW Seria 4,Alb,2018,5.0,Diesel,Automata,Sedan,1995.0,190.0,Spate,5.2,4.2,22890
BMW Seria 5,Gri,2020,5.0,Hibrid,Automata,Sedan,1998.0,184.0,Spate,7.1,5.0,34997
Hyundai i20,Alb,2017,5.0,Benzina,Manuala,Compact,1248.0,84.0,Fata,6.6,4.2,8500
Seat Leon,Gri,2019,5.0,Diesel,Automata,Sedan,1598.0,115.0,Fata,4.4,3.8,12750
Renault Megane,Gri,2016,5.0,Diesel,Manuala,Sedan,1598.0,130.0,Fata,4.7,3.6,7499
Volkswagen Golf,Argint,2014,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.2,4.0,8750
Mini ONE,Rosu,2015,4.0,Benzina,Manuala,Compact,1198.0,102.0,Fata,6.4,4.2,7900
BMW Seria 5,Albastru,2013,5.0,Diesel,Automata,Sedan,2993.0,258.0,4x4,7.2,5.6,16000
Hyundai Tucson,Gri,2016,5.0,Diesel,Automata,SUV,1995.0,136.0,4x4,7.0,5.3,13300
Skoda Octavia,Negru,2016,5.0,Diesel,Automata,Sedan,1968.0,149.0,Fata,4.4,3.2,8500
Volvo XC 60,Alte culori,2010,5.0,Diesel,Manuala,SUV,2400.0,175.0,Fata,7.8,5.0,6900
Peugeot 308,Gri,2014,5.0,Benzina,Manuala,Sedan,1199.0,130.0,Fata,6.4,5.0,7499
Seat Ibiza,Argint,2012,5.0,Diesel,Manuala,Compact,1199.0,75.0,Fata,4.1,3.0,3990
Ford Puma,Albastru,2023,5.0,Benzina,Manuala,SUV,999.0,125.0,Fata,4.9,3.9,19700
Kia Sportage,Alb,2013,5.0,Diesel,Manuala,SUV,1685.0,115.0,Fata,6.3,4.8,8600
Audi A6,Maro,2017,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.9,4.6,28000
Audi A4,Alb,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.9,3.7,15000
Dacia Logan,Alb,2022,5.0,Benzina,Manuala,Sedan,999.0,100.0,Fata,6.5,4.3,11790
Peugeot 308,Negru,2012,4.0,Benzina,Manuala,Sport,1598.0,156.0,Fata,9.7,5.4,6200
Nissan Navara,Maro,2018,5.0,Diesel,Automata,Monovolum,2298.0,190.0,4x4,8.7,5.9,29800
Hyundai i30,Alb,2019,5.0,Diesel,Manuala,Sedan,1598.0,115.0,Fata,5.0,4.1,10300
Audi A6,Alb,2009,5.0,Diesel,Manuala,Sedan,2698.0,190.0,Fata,8.3,5.0,7600
Skoda Kodiaq,Negru,2021,5.0,Diesel,Automata,SUV,1968.0,150.0,Fata,5.4,4.0,20825
Audi A6 Allroad,Alte culori,2020,5.0,Diesel,Automata,Sedan,2967.0,286.0,4x4,6.4,5.4,39179
Volkswagen Tiguan,Alte culori,2021,5.0,Diesel,Automata,SUV,1968.0,200.0,4x4,6.3,4.6,35179
BMW X4,Gri,2015,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.5,4.9,22500
Porsche Panamera,Gri,2015,4.0,Benzina,Automata,Sport,4806.0,440.0,4x4,6.7,4.9,49990
Opel Astra,Gri,2017,5.0,Benzina,Manuala,Compact,1399.0,150.0,Fata,6.3,4.3,9250
Volkswagen Jetta,Gri,2011,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,5.2,3.5,6990
Volkswagen Passat,Gri,2012,5.0,Diesel,Manuala,Sedan,1968.0,140.0,Fata,5.8,4.0,6990
Volvo XC 60,Alb,2020,5.0,Diesel,Automata,SUV,1969.0,197.0,4x4,6.3,5.0,31475
BMW X6,Negru,2017,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,6.8,5.6,29490
Lexus Seria RX,Albastru,2016,5.0,Hibrid,Automata,SUV,3456.0,262.0,4x4,5.5,5.5,34600
Audi A5,Gri,2013,5.0,Diesel,Automata,Sedan,1968.0,177.0,Fata,5.5,4.1,12990
Volkswagen Transporter,Alb,2007,6.0,Diesel,Manuala,Monovolum,1896.0,102.0,Fata,9.4,6.6,4500
BMW Seria 5,Negru,2012,5.0,Diesel,Automata,Compact,1995.0,218.0,4x4,6.2,4.9,11150
Volkswagen Passat,Argint,2019,5.0,Diesel,Manuala,Sedan,1968.0,150.0,Fata,4.9,3.8,16700
BMW Seria 2,Negru,2019,5.0,Diesel,Automata,Compact,1995.0,190.0,Fata,4.8,4.1,15700
Volkswagen ARTEON,Gri,2019,5.0,Benzina,Automata,Sedan,1498.0,150.0,Fata,7.3,5.0,19699
BMW Seria 5,Negru,2012,5.0,Diesel,Automata,Compact,1995.0,218.0,4x4,6.2,4.9,11150
Volkswagen Passat,Argint,2019,5.0,Diesel,Manuala,Sedan,1968.0,150.0,Fata,4.9,3.8,16700
BMW Seria 2,Negru,2019,5.0,Diesel,Automata,Compact,1995.0,190.0,Fata,4.8,4.1,15700
Volkswagen ARTEON,Gri,2019,5.0,Benzina,Automata,Sedan,1498.0,150.0,Fata,7.3,5.0,19699
Mazda CX-5,Alb,2018,5.0,Diesel,Automata,SUV,2191.0,150.0,Fata,6.1,5.1,16500
Hyundai Santa Fe,Gri,2013,6.0,Diesel,Manuala,SUV,2199.0,197.0,4x4,7.5,5.2,12500
Mercedes-Benz E,Negru,2016,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.7,4.1,24500
BMW X3,Argint,2005,5.0,Diesel,Manuala,SUV,2993.0,204.0,4x4,11.1,6.9,3990
BMW Seria 3,Albastru,2020,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.9,4.6,29900
Volkswagen Golf Plus,Alb,2012,5.0,Benzina,Automata,Compact,1390.0,122.0,Fata,8.4,5.4,7990
Volkswagen Tiguan,Alte culori,2020,5.0,Diesel,Automata,SUV,1968.0,240.0,4x4,7.4,5.8,28079
Volkswagen Golf,Gri,2004,5.0,Diesel,Manuala,Compact,1896.0,105.0,Fata,6.9,4.2,3000
BMW Seria 1,Gri,2013,5.0,Diesel,Manuala,Compact,1995.0,143.0,Spate,5.4,4.0,7499
Lexus CT,Gri,2015,5.0,Hibrid,Automata,Compact,1798.0,99.0,Fata,3.6,3.5,11300
BMW Seria 3,Gri,2013,5.0,Diesel,Automata,Sedan,1995.0,184.0,Spate,5.4,3.9,8250
Audi A4,Rosu,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.9,4.1,15500
Volkswagen Caddy,Negru,2020,5.0,Diesel,Manuala,Monovolum,1968.0,102.0,Fata,5.5,4.2,12999
Volvo XC 60,Negru,2015,5.0,Diesel,Automata,SUV,1969.0,181.0,Fata,5.3,4.4,12500
BMW Seria 1,Negru,2013,5.0,Diesel,Manuala,Compact,1995.0,143.0,Spate,5.4,3.8,7200
Mercedes-Benz C,Negru,2014,5.0,Diesel,Manuala,Compact,1598.0,136.0,Spate,5.1,3.8,12300
Skoda Octavia,Alte culori,2007,5.0,Diesel,Manuala,Sedan,1968.0,140.0,Fata,6.1,4.0,3300
