Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Peugeot 3008,Argint,2017,5.0,Diesel,Automata,SUV,1560.0,120.0,Fata,4.5,4.0,15000
Lexus Seria NX,Gri,2019,5.0,Hibrid,Automata,SUV,2494.0,155.0,4x4,5.1,5.0,31951
Audi Q7,Gri,2016,5.0,Diesel,Automata,SUV,2967.0,272.0,4x4,6.2,5.4,28900
Audi A5,Albastru,2017,5.0,Diesel,Automata,Sedan,1968.0,190.0,Fata,4.9,3.8,23800
BMW Seria 3,Albastru,2023,5.0,Benzina,Automata,Sedan,1998.0,156.0,Spate,6.7,4.4,37899
Hyundai Santa Fe,Gri,2015,5.0,Diesel,Automata,SUV,2199.0,197.0,4x4,8.9,5.5,13990
Renault Grand Scenic,Albastru,2020,7.0,Benzina,Automata,Monovolum,1332.0,140.0,Fata,6.9,5.1,15949
Mercedes-Benz Vito,Alte culori,2024,6.0,Diesel,Automata,Monovolum,1950.0,190.0,Spate,7.0,5.8,58977
Renault Megane,Negru,2013,5.0,Benzina,Manuala,Compact,1197.0,116.0,Fata,6.5,4.7,5990
Mini Cooper,Alte culori,2009,4.0,Benzina,Manuala,Compact,1598.0,174.0,Fata,11.6,6.6,6950
Ford Fiesta,Alb,2019,5.0,Diesel,Manuala,Compact,1498.0,85.0,Fata,5.6,3.7,7749
Audi Q2,Gri,2020,5.0,Diesel,Manuala,SUV,1968.0,150.0,Fata,5.4,3.9,19900
Skoda Superb,Gri,2021,5.0,Diesel,Automata,Sedan,1968.0,122.0,Fata,5.1,3.6,17998
Honda CR-V,Gri,2018,5.0,Diesel,Manuala,SUV,1597.0,120.0,Fata,4.6,4.2,13500
Mercedes-Benz A,Negru,2019,5.0,Diesel,Automata,Sedan,1461.0,116.0,Fata,4.2,3.6,19999
Porsche Panamera,Gri,2017,4.0,Benzina,Automata,Compact,2894.0,440.0,4x4,10.2,6.8,49000
Audi A6,Alb,2019,5.0,Diesel,Automata,Sedan,1968.0,204.0,Fata,4.8,4.0,29999
Volvo XC 60,Negru,2014,5.0,Diesel,Automata,SUV,2400.0,215.0,4x4,5.5,4.3,16500
Nissan Qashqai,Alb,2018,5.0,Diesel,Manuala,SUV,1461.0,115.0,Fata,7.4,4.8,14000
Mercedes-Benz C,Albastru,2019,5.0,Diesel,Automata,Sedan,1598.0,160.0,Spate,6.3,3.8,23996
BMW X1,Albastru,2018,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.3,4.8,16999
BMW Seria 2,Gri,2020,5.0,Diesel,Automata,Sedan,1995.0,190.0,Fata,4.8,4.1,28994
BMW Seria 7,Negru,2016,5.0,Hibrid,Automata,Sedan,1998.0,258.0,4x4,6.7,5.3,33999
Mercedes-Benz A,Negru,2015,5.0,Diesel,Manuala,Compact,1461.0,109.0,Fata,4.3,3.4,11000
Volkswagen Sharan,Negru,2016,7.0,Benzina,Automata,Monovolum,1395.0,150.0,Fata,6.5,5.1,11000
BMW X3,Negru,2021,5.0,Hibrid,Automata,SUV,1998.0,184.0,4x4,6.4,5.2,29900
Ford Mondeo,Albastru,2020,5.0,Diesel,Manuala,Sedan,1997.0,120.0,Fata,5.5,4.0,12899
Dacia Logan,Alb,2019,5.0,Diesel,Manuala,Sedan,1461.0,95.0,Fata,4.1,3.4,8900
Ford Focus,Albastru,2019,5.0,Diesel,Automata,Sedan,1995.0,150.0,Fata,5.1,3.8,13600
Skoda Octavia,Alb,2018,5.0,Benzina,Automata,Sedan,999.0,116.0,Fata,6.4,3.8,12449
Dacia Duster,Alte culori,2019,5.0,Diesel,Manuala,SUV,1461.0,115.0,4x4,4.9,4.5,17799
Volkswagen Tiguan,Alb,2020,5.0,Diesel,Automata,SUV,1968.0,190.0,4x4,6.5,5.2,32100
Volvo XC 60,Argint,2019,5.0,Hibrid,Automata,SUV,1969.0,303.0,4x4,7.3,6.6,30997
Volkswagen Passat,Albastru,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.4,3.6,18800
